disease,main_link,Diagnosis_treatment_link,Doctors_departments_link,Diagnosis,Treatment,Coping and support,Preparing for your appointment
Canker sore,https://www.mayoclinic.org/diseases-conditions/canker-sore/symptoms-causes/syc-20370615,https://www.mayoclinic.org/diseases-conditions/canker-sore/diagnosis-treatment/drc-20370620,https://www.mayoclinic.org/diseases-conditions/canker-sore/doctors-departments/ddc-20370621,"Tests aren't needed to diagnose canker sores. Your doctor or dentist can identify them with a visual exam. In some cases, you may have tests to check for other health problems, especially if your canker sores are severe and ongoing.","Treatment usually isn't necessary for minor canker sores, which tend to clear on their own in a week or two. But large, persistent or unusually painful sores often need medical care. A number of treatment options exist.",,Your doctor or dentist can diagnose a canker sore based on its appearance. Here's some information to help you get ready for your appointment.
Canker sore,https://www.mayoclinic.org/diseases-conditions/canker-sore/symptoms-causes/syc-20370615,https://www.mayoclinic.org/diseases-conditions/canker-sore/diagnosis-treatment/drc-20370620,https://www.mayoclinic.org/diseases-conditions/canker-sore/doctors-departments/ddc-20370621,"Tests aren't needed to diagnose canker sores. Your doctor or dentist can identify them with a visual exam. In some cases, you may have tests to check for other health problems, especially if your canker sores are severe and ongoing.","Treatment usually isn't necessary for minor canker sores, which tend to clear on their own in a week or two. But large, persistent or unusually painful sores often need medical care. A number of treatment options exist.",,Your doctor or dentist can diagnose a canker sore based on its appearance. Here's some information to help you get ready for your appointment.
Broken heart syndrome,https://www.mayoclinic.org/diseases-conditions/broken-heart-syndrome/symptoms-causes/syc-20354617,https://www.mayoclinic.org/diseases-conditions/broken-heart-syndrome/diagnosis-treatment/drc-20354623,https://www.mayoclinic.org/diseases-conditions/broken-heart-syndrome/doctors-departments/ddc-20354624,"Broken heart syndrome is often diagnosed in an emergency or hospital setting because symptoms mimic those of a heart attack.
To diagnose broken heart syndrome, a healthcare professional examines you and asks questions about your symptoms and medical history. You may be asked if you've had any major stresses recently, such as the death of a loved one.
People who have broken heart syndrome usually don't have any heart disease symptoms before the condition is diagnosed.
Tests to help diagnose broken heart syndrome include:
Blood tests.People who have broken heart syndrome often have higher levels of substances called cardiac enzymes in the blood.
Electrocardiogram (ECG or EKG).This quick test measures the electrical activity of the heart. Sticky patches called electrodes are placed on the chest and sometimes the arms and legs. Wires connect the electrodes to a computer, which shows the test results.AnECGshows how fast or how slow the heart is beating.ECGresults for broken heart syndrome look different from those for a heart attack.
Coronary angiogram.This test checks for blockages in the heart arteries. It's done to rule out a heart attack. People with broken heart syndrome often don't have any blockages. A doctor inserts a long, thin flexible tube called a catheter into a blood vessel, usually in the groin or wrist. It's guided to the heart. Dye flows through the catheter to arteries in the heart. The dye helps the arteries show up more clearly on X-ray images and video.Once it's clear that you're not having a heart attack, your doctor checks to see if your symptoms are caused by broken heart syndrome.
Echocardiogram.This test uses sound waves to create pictures of the beating heart. It shows how blood flows through the heart and heart valves. It can see if the heart is enlarged or has an unusual shape. These changes may be due to broken heart syndrome.
CardiacMRI.This test uses magnetic fields and radio waves to create detailed images of the heart.","There's no standard treatment for broken heart syndrome. Treatment is similar to heart attack care until the diagnosis is clear. Most people stay in the hospital while they get better.
Many people with broken heart syndrome are fully recovered within a month or so. An echocardiogram is done about 4 to 6 weeks after the first symptoms to make sure the heart is working better. Sometimes, broken heart syndrome happens again after treatment.",,"Broken heart syndrome is usually diagnosed in an emergency or a hospital setting.
If possible, have a family member or friend come with you to the hospital. Someone who goes with you can help you remember the information you're given.
If possible, share important information with the person taking you to the hospital:
Any symptoms you're having,and how long you've had them.
Your important personal information,including any major stresses, such as the death of a loved one, or recent life changes, such as the loss of a job.
Your personal and family medical history,including health conditions such as diabetes, high cholesterol or heart disease.
A list of the medicinesyou take, including those bought without a prescription.
Any recent injury to your chestthat may have caused damage inside the body, such as a broken rib or pinched nerve.
At the hospital, you may have many questions. If possible, you may want to ask:
What do you think is causing my symptoms?
I recently experienced the sudden death of a loved one. Could my symptoms be due to this event?
What kinds of tests do I need?
Do I need to stay in the hospital?
What treatments do I need right now?
What are the risks associated with these treatments?
Will this happen again?
Do I have any diet or activity restrictions?
Don't hesitate to ask any additional questions."
Antiphospholipid syndrome,https://www.mayoclinic.org/diseases-conditions/antiphospholipid-syndrome/symptoms-causes/syc-20355831,https://www.mayoclinic.org/diseases-conditions/antiphospholipid-syndrome/diagnosis-treatment/drc-20355836,https://www.mayoclinic.org/diseases-conditions/antiphospholipid-syndrome/doctors-departments/ddc-20355838,"If you've had episodes of blood clots or pregnancy loss that aren't explained by known health conditions, your health care provider can schedule blood tests to check for clotting and for the presence of the antibodies associated with antiphospholipid syndrome.

To confirm a diagnosis of antiphospholipid syndrome, the antibodies must appear in your blood at least twice, in tests conducted 12 or more weeks apart.

You can have antiphospholipid antibodies and never develop signs or symptoms. A diagnosis of antiphospholipid syndrome is made only when these antibodies cause health problems.","If you have blood clots, standard initial treatment involves a combination of blood-thinning medications. The most common are heparin and warfarin (Jantoven). Heparin is fast-acting and delivered via injections. Warfarin comes in pill form and takes several days to take effect. Aspirin is also a blood thinner.

When you're taking blood thinners, you have an increased risk of bleeding episodes. Your doctor will monitor your dosage with blood tests to be sure your blood is capable of clotting enough to stop the bleeding of a cut or the bleeding under the skin from a bruise.

There is some evidence that other drugs might be helpful in treating antiphospholipid syndrome. These include hydroxychloroquine (Plaquenil), rituximab (Rituxan) and statins. More study is needed.",,"In most cases, complications of antiphospholipid syndrome — such as deep vein thrombosis (DVT), stroke or pregnancy loss — will prompt you to seek medical care. Depending on your complication, you'll likely see a specialist in vascular disease, obstetrics or hematology.

Here's some information to help you get ready for your appointment."
Viral hemorrhagic fevers,https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/symptoms-causes/syc-20351260,https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/diagnosis-treatment/drc-20351266,,"If you think you might have a viral hemorrhagic fever, contact your healthcare professional. Let the office know what you think you have. You might be sent directly to an emergency room. Make sure the emergency room knows that you might have a viral hemorrhagic fever before you go.
Diagnosing viral hemorrhagic fevers in the first few days of illness can be hard. Early symptoms, such as high fever, muscle aches, headaches and extreme tiredness, are common to many other conditions.
Tell your healthcare professional about your medical and travel history and whether you've been around animals, especially mosquitoes, ticks, rodents, nonhuman primates or bats.
Name the countries you visited and the dates. Tell of any contact you might have had with infection sources.
Lab tests, most often using a blood sample, can confirm a diagnosis. You most often have these tests in special labs. That's because viral hemorrhagic fevers are so easy to catch.",There's no treatment for most viral hemorrhagic fevers other than supportive care.,,"If you think you might have a viral hemorrhagic fever, contact your healthcare professional. Let the office know what you think you have. You might be sent directly to an emergency room. Make sure the emergency room knows that you might have a viral hemorrhagic fever before you go."
Viral hemorrhagic fevers,https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/symptoms-causes/syc-20351260,https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/diagnosis-treatment/drc-20351266,,"If you think you might have a viral hemorrhagic fever, contact your healthcare professional. Let the office know what you think you have. You might be sent directly to an emergency room. Make sure the emergency room knows that you might have a viral hemorrhagic fever before you go.
Diagnosing viral hemorrhagic fevers in the first few days of illness can be hard. Early symptoms, such as high fever, muscle aches, headaches and extreme tiredness, are common to many other conditions.
Tell your healthcare professional about your medical and travel history and whether you've been around animals, especially mosquitoes, ticks, rodents, nonhuman primates or bats.
Name the countries you visited and the dates. Tell of any contact you might have had with infection sources.
Lab tests, most often using a blood sample, can confirm a diagnosis. You most often have these tests in special labs. That's because viral hemorrhagic fevers are so easy to catch.",There's no treatment for most viral hemorrhagic fevers other than supportive care.,,"If you think you might have a viral hemorrhagic fever, contact your healthcare professional. Let the office know what you think you have. You might be sent directly to an emergency room. Make sure the emergency room knows that you might have a viral hemorrhagic fever before you go."
Broken arm,https://www.mayoclinic.org/diseases-conditions/broken-arm/symptoms-causes/syc-20353260,https://www.mayoclinic.org/diseases-conditions/broken-arm/diagnosis-treatment/drc-20353266,https://www.mayoclinic.org/diseases-conditions/broken-arm/doctors-departments/ddc-20353267,"Your doctor will examine your arm for tenderness, swelling, deformity or an open wound. After discussing your symptoms and how you injured yourself, your doctor likely will order X-rays to determine the location and extent of the break. Occasionally, another scan, such as anMRI, might be used to get more-detailed images.","Treatment of a broken arm depends on the type of break. The time needed for healing depends on a variety of factors, including severity of the injury; other conditions, such as diabetes; your age; nutrition; and tobacco and alcohol use.
Fractures are classified into one or more of the following categories:
Open (compound) fracture.The broken bone pierces the skin, a serious condition that requires immediate, aggressive treatment to decrease the risk of infection.
Closed fracture.The skin remains unbroken.
Displaced fracture.The bone fragments on each side of the break aren't aligned. Surgery might be required to realign the fragments.
Comminuted fracture.The bone is broken into pieces, so it might require surgery.
Greenstick fracture.The bone cracks but doesn't break all the way — like what happens when you bend a green stick of wood. Most broken bones in children are greenstick fractures because children's bones are softer and more flexible than are those of adults.
Buckle (torus) fracture.One side of the bone is compressed, which causes the other side to bend (buckle). This type of fracture is also more common in children.",,"Depending on the severity of the break, your family doctor or the emergency room physician might refer you or your child to a doctor who specializes in injuries of the body's musculoskeletal system (orthopedic surgeon)."
Chiari malformation,https://www.mayoclinic.org/diseases-conditions/chiari-malformation/symptoms-causes/syc-20354010,https://www.mayoclinic.org/diseases-conditions/chiari-malformation/diagnosis-treatment/drc-20354015,https://www.mayoclinic.org/diseases-conditions/chiari-malformation/doctors-departments/ddc-20354016,"To diagnose Chiari malformation, your health care professional reviews your medical history and symptoms and does a physical exam.
Imaging tests can help diagnose the condition and determine its cause. Tests may include:
Magnetic resonance imaging (MRI).AnMRIis often used to diagnose Chiari malformation. AnMRIuses powerful radio waves and magnets to create a detailed view of the body.This safe, painless test produces detailed3Dimages of structural differences in the brain that may be contributing to symptoms. It also can provide images of the cerebellum and determine whether it extends into the spinal canal.AnMRIcan be repeated over time, and it can be used to monitor the condition.
Computerized tomography (CT) scan.The health care professional may recommend other imaging tests such as aCTscan.ACTscan uses X-rays to obtain cross-sectional images of the body. This can help to reveal brain tumors, brain damage, bone and blood vessel problems, and other conditions.","Treatment for Chiari malformation depends on your condition. If you have no symptoms, your health care professional may recommend no treatment other than monitoring with regular exams andMRIs.
When headaches or other types of pain are the primary symptom, your health care professional may recommend pain medicine.",,"You're likely to start by seeing your health care professional. However, when you call to set up an appointment, you may be referred to a doctor trained in brain and nervous system conditions, known as a neurologist.
Because appointments can be brief, and because there's often a lot to talk about, it's a good idea to be well prepared for your appointment. Here's some information to help you get ready for your appointment and know what to expect from your doctor."
Heart arrhythmia,https://www.mayoclinic.org/diseases-conditions/heart-arrhythmia/symptoms-causes/syc-20350668,https://www.mayoclinic.org/diseases-conditions/heart-arrhythmia/diagnosis-treatment/drc-20350674,https://www.mayoclinic.org/diseases-conditions/heart-arrhythmia/doctors-departments/ddc-20350677,"To diagnose a heart arrhythmia, a healthcare professional examines you and asks about your medical history and symptoms.
You may have tests to check your heart and to look for health conditions that can cause an irregular heartbeat.","Treatment for a heart arrhythmia depends on whether the heart is beating too fast or too slow. Some heart arrhythmias do not need treatment. Your healthcare team may suggest regular checkups to watch your condition.
Heart arrhythmia treatment is usually only needed if the irregular heartbeat causes significant symptoms or puts you at risk of more-serious heart problems. Treatment for heart arrhythmias may include medicines, special actions called vagal maneuvers, procedures or surgery.",,Medical appointments can be brief. There's often a lot to discuss. So it's a good idea to be prepared for your appointment. Here's some information to help you prepare for your appointment.
Giant cell arteritis,https://www.mayoclinic.org/diseases-conditions/giant-cell-arteritis/symptoms-causes/syc-20372758,https://www.mayoclinic.org/diseases-conditions/giant-cell-arteritis/diagnosis-treatment/drc-20372764,https://www.mayoclinic.org/diseases-conditions/giant-cell-arteritis/doctors-departments/ddc-20372765,"Giant cell arteritis can be difficult to diagnose because its early symptoms resemble those of other common conditions. For this reason, your doctor will try to rule out other possible causes of your problem.
In addition to asking about your symptoms and medical history, your doctor is likely to perform a thorough physical exam, paying particular attention to your temporal arteries. Often, one or both of these arteries are tender, with a reduced pulse and a hard, cordlike feel and appearance.
Your doctor might also recommend certain tests.","The main treatment for giant cell arteritis consists of high doses of a corticosteroid drug such as prednisone. Because immediate treatment is necessary to prevent vision loss, your doctor is likely to start medication even before confirming the diagnosis with a biopsy.
You'll likely begin to feel better within a few days of beginning treatment. If you have visual loss before starting treatment with corticosteroids, it's unlikely that your vision will improve. However, your unaffected eye might be able to compensate for some of the visual changes.
You may need to continue taking medication for one to two years or longer. After the first month, your doctor might gradually begin to lower the dosage until you reach the lowest dose of corticosteroids needed to control inflammation.
Some symptoms, particularly headaches, may return during this tapering period. This is the point at which many people also develop symptoms of polymyalgia rheumatica. Such flares can usually be treated with slight increases in the corticosteroid dose. Your doctor might also suggest an immune-suppressing drug called methotrexate (Trexall).
Corticosteroids can lead to serious side effects, such as osteoporosis, high blood pressure and muscle weakness. To counter potential side effects, your doctor is likely to monitor your bone density and might prescribe calcium and vitamin D supplements or other medications to help prevent bone loss.
The Food and Drug Administration recently approved tocilizumab (Actemra) to treat giant cell arteritis. It's given as an injection under your skin. Side effects include making you more prone to infections. More research is needed.","Learning everything you can about giant cell arteritis and its treatment can help you feel more in control of your condition. Your health care team can answer your questions, and online support groups might also be of help. Know the possible side effects of the medications you take, and report any changes in your health to your doctor.","You might start by seeing your primary care doctor. He or she may refer you to an eye specialist (ophthalmologist) if you're having visual symptoms, a brain and nervous system specialist (neurologist) if you're having headaches, or a specialist in diseases of the joints, bones and muscles (rheumatologist).
Here's some information to help you get ready for your appointment."
Takayasu's arteritis,https://www.mayoclinic.org/diseases-conditions/takayasus-arteritis/symptoms-causes/syc-20351335,https://www.mayoclinic.org/diseases-conditions/takayasus-arteritis/diagnosis-treatment/drc-20351340,https://www.mayoclinic.org/diseases-conditions/takayasus-arteritis/doctors-departments/ddc-20351342,"Your doctor will ask you about your signs and symptoms, conduct a physical exam, and take your medical history. He or she may also have you undergo some of the following tests and procedures to help rule out other conditions that resemble Takayasu's arteritis and to confirm the diagnosis. Some of these tests may also be used to check on your progress during treatment.

X-rays of your blood vessels (angiography).During an angiogram, a long, flexible tube (catheter) is inserted into a large artery or vein. A special contrast dye is then injected into the catheter, and X-rays are taken as the dye fills your arteries or veins.

The resulting images allow your doctor to see if blood is flowing normally or if it's being slowed or interrupted due to narrowing (stenosis) of a blood vessel. A person with Takayasu's arteritis generally has several areas of stenosis.","Treatment of Takayasu's arteritis focuses on controlling inflammation with medications and preventing further damage to your blood vessels.

Takayasu's arteritis can be difficult to treat because the disease may remain active even if your symptoms improve. It's also possible that irreversible damage has already occurred by the time you're diagnosed.

On the other hand, if you don't have signs and symptoms or serious complications, you may not need treatment or you may be able to taper and stop treatment if your doctor recommends it.","One of the greatest challenges of living with Takayasu's arteritis may be coping with side effects of your medication. The following suggestions may help:

Eat a healthy diet.Eating well can help prevent potential problems that can result from your condition and medications, such as high blood pressure, thinning bones and diabetes. Emphasize fresh fruits and vegetables, whole grains, and lean meats and fish, while limiting salt, sugar and alcohol.

If you're taking a corticosteroid drug, ask your doctor if you need to take a vitamin D or calcium supplement.","If your primary care doctor suspects that you have Takayasu's arteritis, he or she may refer you to one or more specialists with experience in helping people with this condition. Takayasu's arteritis is a rare disorder that can be difficult to diagnose and treat.

You may want to talk with your doctor about a referral to a medical center that specializes in treating vasculitis.

Because appointments can be brief and there's often a lot of information to discuss, it's a good idea to be prepared. Here's some information to help you get ready for your appointment."
Thumb arthritis,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/symptoms-causes/syc-20378339,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/diagnosis-treatment/drc-20378344,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/doctors-departments/ddc-20378345,"During a physical exam, your doctor will ask about your symptoms and look for noticeable swelling or lumps on your joints.
Your doctor might hold your joint while moving your thumb, with pressure, against your wrist bone. If this movement produces a grinding sound, or causes pain or a gritty feeling, the cartilage has likely worn down, and the bones are rubbing against each other.
Imaging techniques, usually X-rays, can reveal signs of thumb arthritis, including:
Bone spurs
Worn-down cartilage
Loss of joint space","In the early stages of thumb arthritis, treatment usually involves a combination of non-surgical therapies. If your thumb arthritis is severe, surgery might be necessary.",,You might be referred to a doctor who specializes in disorders of the joints (rheumatologist).
Osteoarthritis,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/diagnosis-treatment/drc-20351930,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/doctors-departments/ddc-20351933,"During the physical exam, your healthcare professional checks your affected joint for tenderness, swelling and flexibility.","Osteoarthritis can't be reversed, but treatments can reduce pain and help you move better.",Your ability to cope despite pain and disability caused by osteoarthritis often determines how much of an impact osteoarthritis has on your life. Talk to your healthcare team if you're feeling frustrated. Your care team may have ideas to help you cope or be able to refer you to someone who can help.,"You might start by seeing your primary healthcare professional, who might refer you to a doctor who specializes in joint conditions, called a rheumatologist, or to an orthopedic surgeon."
Gout,https://www.mayoclinic.org/diseases-conditions/gout/symptoms-causes/syc-20372897,https://www.mayoclinic.org/diseases-conditions/gout/diagnosis-treatment/drc-20372903,https://www.mayoclinic.org/diseases-conditions/gout/doctors-departments/ddc-20372904,"Doctors usually diagnose gout based on your symptoms and the appearance of the affected joint. Tests to help diagnose gout may include:
Joint fluid test.Your doctor may use a needle to draw fluid from your affected joint. Urate crystals may be visible when the fluid is examined under a microscope.
Blood test.Your doctor may recommend a blood test to measure the levels of uric acid in your blood. Blood test results can be misleading, though. Some people have high uric acid levels, but never experience gout. And some people have signs and symptoms of gout, but don't have unusual levels of uric acid in their blood.
X-ray imaging.Joint X-rays can be helpful to rule out other causes of joint inflammation.
Ultrasound.This test uses sound waves to detect urate crystals in joints or in tophi.
Dual-energy computerized tomography (DECT).This test combines X-ray images taken from many different angles to visualize urate crystals in joints.","Gout medications are available in two types and focus on two different problems. The first type helps reduce the inflammation and pain associated with gout attacks. The second type works to prevent gout complications by lowering the amount of uric acid in your blood.
Which type of medication is right for you depends on the frequency and severity of your symptoms, along with any other health problems you may have.",,"Make an appointment with your doctor if you have symptoms that are common to gout. After an initial examination, your doctor may refer you to a specialist in the diagnosis and treatment of arthritis and other inflammatory joint conditions (rheumatologist).
Here's some information to help you get ready for your appointment, and what to expect from your doctor."
Septic arthritis,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/symptoms-causes/syc-20350755,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/diagnosis-treatment/drc-20350760,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/doctors-departments/ddc-20350761,"The following tests typically help diagnose septic arthritis:

Imaging tests.X-rays and other imaging tests of the affected joint can assess damage to the joint or loosening of an artificial joint.

A specialized scan that involves swallowing or injecting a small amount of a radioactive chemical may be used if your doctor suspects you have a prosthetic joint infection and it's been more than a year since you've had surgery.",Doctors rely on joint drainage and antibiotic drugs to treat septic arthritis.,,"If you have painful and inflamed joints, you're likely to start by seeing your family doctor. He or she may refer you to an orthopedic surgeon, infectious disease specialist or joint specialist (rheumatologist).

Here's some information to help you get ready for your appointment."
Juvenile idiopathic arthritis,https://www.mayoclinic.org/diseases-conditions/juvenile-idiopathic-arthritis/symptoms-causes/syc-20374082,https://www.mayoclinic.org/diseases-conditions/juvenile-idiopathic-arthritis/diagnosis-treatment/drc-20374088,https://www.mayoclinic.org/diseases-conditions/juvenile-idiopathic-arthritis/doctors-departments/ddc-20374089,"Diagnosis of juvenile idiopathic arthritis can be difficult because joint pain can be caused by many different types of problems. No single test can confirm a diagnosis, but tests can help rule out some other conditions that produce similar signs and symptoms.","Treatment for juvenile idiopathic arthritis focuses on helping your child maintain a normal level of physical and social activity. To accomplish this, doctors may use a combination of strategies to relieve pain and swelling, maintain full movement and strength, and prevent complications.","Family members can play critical roles in helping children cope with their condition. As a parent, you may want to try the following:
Treat your child like other children in your family as much as possible.
Allow your child to express anger about having juvenile idiopathic arthritis. Explain that the disease isn't caused by anything he or she did.
Encourage your child to participate in physical activities, keeping in mind the recommendations of your child's doctor and physical therapist.
Discuss your child's condition and the issues surrounding it with teachers and administrators at his or her school.","If your pediatrician or family doctor suspects that your child has juvenile idiopathic arthritis, he or she may refer you to a doctor who specializes in arthritis (rheumatologist) to confirm the diagnosis and explore treatment."
Osteoarthritis,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/diagnosis-treatment/drc-20351930,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/doctors-departments/ddc-20351933,"During the physical exam, your healthcare professional checks your affected joint for tenderness, swelling and flexibility.","Osteoarthritis can't be reversed, but treatments can reduce pain and help you move better.",Your ability to cope despite pain and disability caused by osteoarthritis often determines how much of an impact osteoarthritis has on your life. Talk to your healthcare team if you're feeling frustrated. Your care team may have ideas to help you cope or be able to refer you to someone who can help.,"You might start by seeing your primary healthcare professional, who might refer you to a doctor who specializes in joint conditions, called a rheumatologist, or to an orthopedic surgeon."
Psoriatic arthritis,https://www.mayoclinic.org/diseases-conditions/psoriatic-arthritis/symptoms-causes/syc-20354076,https://www.mayoclinic.org/diseases-conditions/psoriatic-arthritis/diagnosis-treatment/drc-20354081,https://www.mayoclinic.org/diseases-conditions/psoriatic-arthritis/doctors-departments/ddc-20354084,"During the exam, your doctor might:

No single test can confirm a diagnosis of psoriatic arthritis. But some types of tests can rule out other causes of joint pain, such as rheumatoid arthritis or gout.","No cure exists for psoriatic arthritis. Treatment focuses on controlling inflammation in your affected joints to prevent joint pain and disability and controlling skin involvement. One of the most common treatments are prescription medications called disease-modifying antirheumatic drugs (DMARDs).

Treatment will depend on how severe your disease is and what joints are affected. You might have to try different treatments before you find one that brings you relief.","The support of friends and family can make a tremendous difference when you're facing the challenges of psoriatic arthritis. For some people, support groups can offer the same benefits. A counselor or therapist can help you devise coping strategies to reduce your stress levels.",You're likely to first discuss your signs and symptoms with your family doctor. He or she may refer you to a doctor specializing in the treatment of arthritis and related disorders (rheumatologist).
Reactive arthritis,https://www.mayoclinic.org/diseases-conditions/reactive-arthritis/symptoms-causes/syc-20354838,https://www.mayoclinic.org/diseases-conditions/reactive-arthritis/diagnosis-treatment/drc-20354843,https://www.mayoclinic.org/diseases-conditions/reactive-arthritis/doctors-departments/ddc-20354844,"During the physical exam, your doctor is likely to check your joints for swelling, warmth and tenderness, and test range of motion in your spine and affected joints. Your doctor might also check your eyes for inflammation and your skin for rashes.",The goal of treatment is to manage your symptoms and treat an infection that could still be present.,,"You'll likely start by seeing your primary care provider, who might refer you to a doctor who specializes in arthritis (rheumatologist) for further evaluation."
Rheumatoid arthritis,https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/symptoms-causes/syc-20353648,https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/diagnosis-treatment/drc-20353653,https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/doctors-departments/ddc-20353657,"Rheumatoid arthritis can be hard to diagnose in its early stages. That's because the early symptoms can be like those of other common conditions.
During the physical exam, your healthcare professional checks your joints for swelling, redness and warmth. Your healthcare professional also may check your reflexes and muscle strength.","There is no cure for rheumatoid arthritis. Joint damage can happen quickly without treatment. But clinical studies show that easing of symptoms, called remission, is more likely with early treatment with medicines called disease-modifying antirheumatic drugs (DMARDs).
Treatment of rheumatoid arthritis also involves regular follow-up with your healthcare team. This is to watch for joint damage, to see whether treatment is working and to look for possible side effects of treatment.","Pain and not being able to move well because of rheumatoid arthritis can affect a person's work and family life. Depression and worry are common. You also might feel helpless and feel bad about yourself.
How much rheumatoid arthritis affects your daily life depends in part on how well you cope with the condition. Talk with your healthcare team about ways to cope. With time, you'll learn what works for you. In the meantime, try to:
Take control.With your healthcare team, make a plan to manage your arthritis. This will help you feel in charge of your condition.
Know your limits.Rest when you're tired. Rheumatoid arthritis can make you very tired. Rest or take a short nap when you need to.
Connect with others.Let people close to you know how you're feeling. They may be worried about you but might not feel it's OK to ask about your pain. Find someone you can talk to when your condition feels like it's too much for you to handle.It also might help to connect with others who have rheumatoid arthritis. You can do this through a local support group or online.
Take time for yourself.Find time to do what you like. Write in a journal, go for a walk or listen to music. These can help lower stress.","You might first see your main healthcare professional. Your healthcare professional may send you to a specialist in the treatment of arthritis and other inflammatory conditions, called a rheumatologist."
Septic arthritis,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/symptoms-causes/syc-20350755,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/diagnosis-treatment/drc-20350760,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/doctors-departments/ddc-20350761,"The following tests typically help diagnose septic arthritis:

Imaging tests.X-rays and other imaging tests of the affected joint can assess damage to the joint or loosening of an artificial joint.

A specialized scan that involves swallowing or injecting a small amount of a radioactive chemical may be used if your doctor suspects you have a prosthetic joint infection and it's been more than a year since you've had surgery.",Doctors rely on joint drainage and antibiotic drugs to treat septic arthritis.,,"If you have painful and inflamed joints, you're likely to start by seeing your family doctor. He or she may refer you to an orthopedic surgeon, infectious disease specialist or joint specialist (rheumatologist).

Here's some information to help you get ready for your appointment."
Thumb arthritis,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/symptoms-causes/syc-20378339,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/diagnosis-treatment/drc-20378344,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/doctors-departments/ddc-20378345,"During a physical exam, your doctor will ask about your symptoms and look for noticeable swelling or lumps on your joints.
Your doctor might hold your joint while moving your thumb, with pressure, against your wrist bone. If this movement produces a grinding sound, or causes pain or a gritty feeling, the cartilage has likely worn down, and the bones are rubbing against each other.
Imaging techniques, usually X-rays, can reveal signs of thumb arthritis, including:
Bone spurs
Worn-down cartilage
Loss of joint space","In the early stages of thumb arthritis, treatment usually involves a combination of non-surgical therapies. If your thumb arthritis is severe, surgery might be necessary.",,You might be referred to a doctor who specializes in disorders of the joints (rheumatologist).
Atrial septal defect (ASD),https://www.mayoclinic.org/diseases-conditions/atrial-septal-defect/symptoms-causes/syc-20369715,https://www.mayoclinic.org/diseases-conditions/atrial-septal-defect/diagnosis-treatment/drc-20369720,https://www.mayoclinic.org/diseases-conditions/atrial-septal-defect/doctors-departments/ddc-20369722,"Some atrial septal defects (ASDs) are found before or soon after a child is born. But smaller ones may not be found until later in life.
If anASDis present, a healthcare professional may hear a whooshing sound called a heart murmur when listening to the heart with a device called a stethoscope.","Treatment for atrial septal defect (ASD) depends on:
The size of the hole in the heart.
Whether there are other heart problems present at birth.
An atrial septal defect may close on its own during childhood. For small holes that don't close, regular health checkups may be the only care needed.
Some atrial septal defects that do not close need a procedure to close the hole. But closure of anASDisn't recommended in those who have severe pulmonary hypertension.",,"A doctor trained in heart problems present at birth usually provides care for people with an atrial septal defect. This type of healthcare professional is called a congenital cardiologist.
Here's some information to help you get ready for your appointment."
