disease,main_link,Diagnosis_treatment_link,Doctors_departments_link
Reactive attachment disorder,https://www.mayoclinic.org/diseases-conditions/reactive-attachment-disorder/symptoms-causes/syc-20352939,https://www.mayoclinic.org/diseases-conditions/reactive-attachment-disorder/diagnosis-treatment/drc-20352945,
Adult attention-deficit/hyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,https://www.mayoclinic.org/diseases-conditions/adult-adhd/diagnosis-treatment/drc-20350883,
Auditory processing disorder,https://www.mayoclinic.org/diseases-conditions/auditory-processing-disorder/symptoms-causes/syc-20555261,https://www.mayoclinic.org/diseases-conditions/auditory-processing-disorder/diagnosis-treatment/drc-20555277,https://www.mayoclinic.org/diseases-conditions/auditory-processing-disorder/doctors-departments/ddc-20555296
Autoimmune epilepsy,https://www.mayoclinic.org/diseases-conditions/autoimmune-epilepsy/symptoms-causes/syc-20576892,https://www.mayoclinic.org/diseases-conditions/autoimmune-epilepsy/diagnosis-treatment/drc-20576912,https://www.mayoclinic.org/diseases-conditions/autoimmune-epilepsy/doctors-departments/ddc-20576934
Autoimmune encephalitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-encephalitis/symptoms-causes/syc-20576380,https://www.mayoclinic.org/diseases-conditions/autoimmune-encephalitis/diagnosis-treatment/drc-20576406,https://www.mayoclinic.org/diseases-conditions/autoimmune-encephalitis/doctors-departments/ddc-20576425
Bird flu (avian influenza),https://www.mayoclinic.org/diseases-conditions/bird-flu/symptoms-causes/syc-20568390,https://www.mayoclinic.org/diseases-conditions/bird-flu/diagnosis-treatment/drc-20568430,
Avascular necrosis (osteonecrosis),https://www.mayoclinic.org/diseases-conditions/avascular-necrosis/symptoms-causes/syc-20369859,https://www.mayoclinic.org/diseases-conditions/avascular-necrosis/diagnosis-treatment/drc-20369863,https://www.mayoclinic.org/diseases-conditions/avascular-necrosis/doctors-departments/ddc-20369864
Atrioventricular nodal reentry tachycardia (AVNRT),https://www.mayoclinic.org/diseases-conditions/avnrt/symptoms-causes/syc-20573830,https://www.mayoclinic.org/diseases-conditions/avnrt/diagnosis-treatment/drc-20573853,
Hair loss,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,https://www.mayoclinic.org/diseases-conditions/hair-loss/doctors-departments/ddc-20372934
Folliculitis,https://www.mayoclinic.org/diseases-conditions/folliculitis/symptoms-causes/syc-20361634,https://www.mayoclinic.org/diseases-conditions/folliculitis/diagnosis-treatment/drc-20361662,
Mitral valve prolapse,https://www.mayoclinic.org/diseases-conditions/mitral-valve-prolapse/symptoms-causes/syc-20355446,https://www.mayoclinic.org/diseases-conditions/mitral-valve-prolapse/diagnosis-treatment/drc-20355452,https://www.mayoclinic.org/diseases-conditions/mitral-valve-prolapse/doctors-departments/ddc-20355454
Airplane ear,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701,https://www.mayoclinic.org/diseases-conditions/airplane-ear/diagnosis-treatment/drc-20351707,
Airplane ear,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701,https://www.mayoclinic.org/diseases-conditions/airplane-ear/diagnosis-treatment/drc-20351707,
Thumb arthritis,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/symptoms-causes/syc-20378339,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/diagnosis-treatment/drc-20378344,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/doctors-departments/ddc-20378345
Body dysmorphic disorder,https://www.mayoclinic.org/diseases-conditions/body-dysmorphic-disorder/symptoms-causes/syc-20353938,https://www.mayoclinic.org/diseases-conditions/body-dysmorphic-disorder/diagnosis-treatment/drc-20353944,
Behcet disease,https://www.mayoclinic.org/diseases-conditions/behcet-disease/symptoms-causes/syc-20351326,https://www.mayoclinic.org/diseases-conditions/behcet-disease/diagnosis-treatment/drc-20351331,https://www.mayoclinic.org/diseases-conditions/behcet-disease/doctors-departments/ddc-20351333
Geographic tongue,https://www.mayoclinic.org/diseases-conditions/geographic-tongue/symptoms-causes/syc-20354396,https://www.mayoclinic.org/diseases-conditions/geographic-tongue/diagnosis-treatment/drc-20354401,
Benign paroxysmal positional vertigo (BPPV),https://www.mayoclinic.org/diseases-conditions/vertigo/symptoms-causes/syc-20370055,https://www.mayoclinic.org/diseases-conditions/vertigo/diagnosis-treatment/drc-20370060,https://www.mayoclinic.org/diseases-conditions/vertigo/doctors-departments/ddc-20370061
IgA nephropathy (Berger disease),https://www.mayoclinic.org/diseases-conditions/iga-nephropathy/symptoms-causes/syc-20352268,https://www.mayoclinic.org/diseases-conditions/iga-nephropathy/diagnosis-treatment/drc-20352274,https://www.mayoclinic.org/diseases-conditions/iga-nephropathy/doctors-departments/ddc-20352277
Cholangiocarcinoma (bile duct cancer),https://www.mayoclinic.org/diseases-conditions/cholangiocarcinoma/symptoms-causes/syc-20352408,https://www.mayoclinic.org/diseases-conditions/cholangiocarcinoma/diagnosis-treatment/drc-20352413,https://www.mayoclinic.org/diseases-conditions/cholangiocarcinoma/doctors-departments/ddc-20352415
Alcohol poisoning,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/diagnosis-treatment/drc-20354392,
Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,https://www.mayoclinic.org/diseases-conditions/acne/diagnosis-treatment/drc-20368048,https://www.mayoclinic.org/diseases-conditions/acne/doctors-departments/ddc-20368049
Bladder stones,https://www.mayoclinic.org/diseases-conditions/bladder-stones/symptoms-causes/syc-20354339,https://www.mayoclinic.org/diseases-conditions/bladder-stones/diagnosis-treatment/drc-20354345,https://www.mayoclinic.org/diseases-conditions/bladder-stones/doctors-departments/ddc-20354347
Urinary incontinence,https://www.mayoclinic.org/diseases-conditions/urinary-incontinence/symptoms-causes/syc-20352808,https://www.mayoclinic.org/diseases-conditions/urinary-incontinence/diagnosis-treatment/drc-20352814,https://www.mayoclinic.org/diseases-conditions/urinary-incontinence/doctors-departments/ddc-20352818
Cystitis,https://www.mayoclinic.org/diseases-conditions/cystitis/symptoms-causes/syc-20371306,https://www.mayoclinic.org/diseases-conditions/cystitis/diagnosis-treatment/drc-20371311,
Interstitial cystitis,https://www.mayoclinic.org/diseases-conditions/interstitial-cystitis/symptoms-causes/syc-20354357,https://www.mayoclinic.org/diseases-conditions/interstitial-cystitis/diagnosis-treatment/drc-20354362,
Anterior vaginal prolapse (cystocele),https://www.mayoclinic.org/diseases-conditions/cystocele/symptoms-causes/syc-20369452,https://www.mayoclinic.org/diseases-conditions/cystocele/diagnosis-treatment/drc-20369457,https://www.mayoclinic.org/diseases-conditions/cystocele/doctors-departments/ddc-20369459
Blastocystis hominis,https://www.mayoclinic.org/diseases-conditions/blastocystis-hominis-infection/symptoms-causes/syc-20351205,https://www.mayoclinic.org/diseases-conditions/blastocystis-hominis-infection/diagnosis-treatment/drc-20351211,
Ureteral obstruction,https://www.mayoclinic.org/diseases-conditions/ureteral-obstruction/symptoms-causes/syc-20354676,https://www.mayoclinic.org/diseases-conditions/ureteral-obstruction/diagnosis-treatment/drc-20354680,https://www.mayoclinic.org/diseases-conditions/ureteral-obstruction/doctors-departments/ddc-20354681
Burning mouth syndrome,https://www.mayoclinic.org/diseases-conditions/burning-mouth-syndrome/symptoms-causes/syc-20350911,https://www.mayoclinic.org/diseases-conditions/burning-mouth-syndrome/diagnosis-treatment/drc-20350917,https://www.mayoclinic.org/diseases-conditions/burning-mouth-syndrome/doctors-departments/ddc-20350920
Sweating and body odor,https://www.mayoclinic.org/diseases-conditions/sweating-and-body-odor/symptoms-causes/syc-20353895,https://www.mayoclinic.org/diseases-conditions/sweating-and-body-odor/diagnosis-treatment/drc-20353898,
Osteomyelitis,https://www.mayoclinic.org/diseases-conditions/osteomyelitis/symptoms-causes/syc-20375913,https://www.mayoclinic.org/diseases-conditions/osteomyelitis/diagnosis-treatment/drc-20375917,https://www.mayoclinic.org/diseases-conditions/osteomyelitis/doctors-departments/ddc-20375918
Fecal incontinence,https://www.mayoclinic.org/diseases-conditions/fecal-incontinence/symptoms-causes/syc-20351397,https://www.mayoclinic.org/diseases-conditions/fecal-incontinence/diagnosis-treatment/drc-20351403,https://www.mayoclinic.org/diseases-conditions/fecal-incontinence/doctors-departments/ddc-20351406
Intestinal obstruction,https://www.mayoclinic.org/diseases-conditions/intestinal-obstruction/symptoms-causes/syc-20351460,https://www.mayoclinic.org/diseases-conditions/intestinal-obstruction/diagnosis-treatment/drc-20351465,https://www.mayoclinic.org/diseases-conditions/intestinal-obstruction/doctors-departments/ddc-20351466
Benign prostatic hyperplasia (BPH),https://www.mayoclinic.org/diseases-conditions/benign-prostatic-hyperplasia/symptoms-causes/syc-20370087,https://www.mayoclinic.org/diseases-conditions/benign-prostatic-hyperplasia/diagnosis-treatment/drc-20370093,https://www.mayoclinic.org/diseases-conditions/benign-prostatic-hyperplasia/doctors-departments/ddc-20370095
Sick sinus syndrome,https://www.mayoclinic.org/diseases-conditions/sick-sinus-syndrome/symptoms-causes/syc-20377554,https://www.mayoclinic.org/diseases-conditions/sick-sinus-syndrome/diagnosis-treatment/drc-20377560,https://www.mayoclinic.org/diseases-conditions/sick-sinus-syndrome/doctors-departments/ddc-20377561
Brain AVM (arteriovenous malformation),https://www.mayoclinic.org/diseases-conditions/brain-avm/symptoms-causes/syc-20350260,https://www.mayoclinic.org/diseases-conditions/brain-avm/diagnosis-treatment/drc-20350265,https://www.mayoclinic.org/diseases-conditions/brain-avm/doctors-departments/ddc-20350267
Pediatric brain tumors,https://www.mayoclinic.org/diseases-conditions/pediatric-brain-tumor/symptoms-causes/syc-20361694,https://www.mayoclinic.org/diseases-conditions/pediatric-brain-tumor/diagnosis-treatment/drc-20361706,https://www.mayoclinic.org/diseases-conditions/pediatric-brain-tumor/doctors-departments/ddc-20361738
Inflammatory breast cancer,https://www.mayoclinic.org/diseases-conditions/inflammatory-breast-cancer/symptoms-causes/syc-20355413,https://www.mayoclinic.org/diseases-conditions/inflammatory-breast-cancer/diagnosis-treatment/drc-20355417,https://www.mayoclinic.org/diseases-conditions/inflammatory-breast-cancer/doctors-departments/ddc-20355419
Male breast cancer,https://www.mayoclinic.org/diseases-conditions/male-breast-cancer/symptoms-causes/syc-20374740,https://www.mayoclinic.org/diseases-conditions/male-breast-cancer/diagnosis-treatment/drc-20374745,https://www.mayoclinic.org/diseases-conditions/male-breast-cancer/doctors-departments/ddc-20374746
Mastitis,https://www.mayoclinic.org/diseases-conditions/mastitis/symptoms-causes/syc-20374829,https://www.mayoclinic.org/diseases-conditions/mastitis/diagnosis-treatment/drc-20374834,https://www.mayoclinic.org/diseases-conditions/mastitis/doctors-departments/ddc-20374835
Subconjunctival hemorrhage (broken blood vessel in eye),https://www.mayoclinic.org/diseases-conditions/subconjunctival-hemorrhage/symptoms-causes/syc-20353826,https://www.mayoclinic.org/diseases-conditions/subconjunctival-hemorrhage/diagnosis-treatment/drc-20353832,https://www.mayoclinic.org/diseases-conditions/subconjunctival-hemorrhage/doctors-departments/ddc-20353833
Hip fracture,https://www.mayoclinic.org/diseases-conditions/hip-fracture/symptoms-causes/syc-20373468,https://www.mayoclinic.org/diseases-conditions/hip-fracture/diagnosis-treatment/drc-20373472,https://www.mayoclinic.org/diseases-conditions/hip-fracture/doctors-departments/ddc-20373473
Viral hemorrhagic fevers,https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/symptoms-causes/syc-20351260,https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/diagnosis-treatment/drc-20351266,
Burns,https://www.mayoclinic.org/diseases-conditions/burns/symptoms-causes/syc-20370539,https://www.mayoclinic.org/diseases-conditions/burns/diagnosis-treatment/drc-20370545,https://www.mayoclinic.org/diseases-conditions/burns/doctors-departments/ddc-20370546
Meralgia paresthetica,https://www.mayoclinic.org/diseases-conditions/meralgia-paresthetica/symptoms-causes/syc-20355635,https://www.mayoclinic.org/diseases-conditions/meralgia-paresthetica/diagnosis-treatment/drc-20355639,https://www.mayoclinic.org/diseases-conditions/meralgia-paresthetica/doctors-departments/ddc-20355641
Knee bursitis,https://www.mayoclinic.org/diseases-conditions/knee-bursitis/symptoms-causes/syc-20355501,https://www.mayoclinic.org/diseases-conditions/knee-bursitis/diagnosis-treatment/drc-20355506,https://www.mayoclinic.org/diseases-conditions/knee-bursitis/doctors-departments/ddc-20355508
Pseudomembranous colitis,https://www.mayoclinic.org/diseases-conditions/pseudomembranous-colitis/symptoms-causes/syc-20351434,https://www.mayoclinic.org/diseases-conditions/pseudomembranous-colitis/diagnosis-treatment/drc-20351439,https://www.mayoclinic.org/diseases-conditions/pseudomembranous-colitis/doctors-departments/ddc-20351441
Corns and calluses,https://www.mayoclinic.org/diseases-conditions/corns-and-calluses/symptoms-causes/syc-20355946,https://www.mayoclinic.org/diseases-conditions/corns-and-calluses/diagnosis-treatment/drc-20355951,
Carcinoma of unknown primary,https://www.mayoclinic.org/diseases-conditions/carcinoma-unknown-primary/symptoms-causes/syc-20370683,https://www.mayoclinic.org/diseases-conditions/carcinoma-unknown-primary/diagnosis-treatment/drc-20433758,https://www.mayoclinic.org/diseases-conditions/carcinoma-unknown-primary/doctors-departments/ddc-20370686
Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/diagnosis-treatment/drc-20369083,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/doctors-departments/ddc-20369085
Anal cancer,https://www.mayoclinic.org/diseases-conditions/anal-cancer/symptoms-causes/syc-20354140,https://www.mayoclinic.org/diseases-conditions/anal-cancer/diagnosis-treatment/drc-20354146,https://www.mayoclinic.org/diseases-conditions/anal-cancer/doctors-departments/ddc-20354149
Basal cell carcinoma,https://www.mayoclinic.org/diseases-conditions/basal-cell-carcinoma/symptoms-causes/syc-20354187,https://www.mayoclinic.org/diseases-conditions/basal-cell-carcinoma/diagnosis-treatment/drc-20354193,https://www.mayoclinic.org/diseases-conditions/basal-cell-carcinoma/doctors-departments/ddc-20354194
Bladder cancer,https://www.mayoclinic.org/diseases-conditions/bladder-cancer/symptoms-causes/syc-20356104,https://www.mayoclinic.org/diseases-conditions/bladder-cancer/diagnosis-treatment/drc-20356109,https://www.mayoclinic.org/diseases-conditions/bladder-cancer/doctors-departments/ddc-20356111
Bone cancer,https://www.mayoclinic.org/diseases-conditions/bone-cancer/symptoms-causes/syc-20350217,https://www.mayoclinic.org/diseases-conditions/bone-cancer/diagnosis-treatment/drc-20350221,https://www.mayoclinic.org/diseases-conditions/bone-cancer/doctors-departments/ddc-20350223
Breast cancer,https://www.mayoclinic.org/diseases-conditions/breast-cancer/symptoms-causes/syc-20352470,https://www.mayoclinic.org/diseases-conditions/breast-cancer/diagnosis-treatment/drc-20352475,https://www.mayoclinic.org/diseases-conditions/breast-cancer/doctors-departments/ddc-20352478
Carcinoid tumors,https://www.mayoclinic.org/diseases-conditions/carcinoid-tumors/symptoms-causes/syc-20351039,https://www.mayoclinic.org/diseases-conditions/carcinoid-tumors/diagnosis-treatment/drc-20351044,https://www.mayoclinic.org/diseases-conditions/carcinoid-tumors/doctors-departments/ddc-20351046
Cervical cancer,https://www.mayoclinic.org/diseases-conditions/cervical-cancer/symptoms-causes/syc-20352501,https://www.mayoclinic.org/diseases-conditions/cervical-cancer/diagnosis-treatment/drc-20352506,https://www.mayoclinic.org/diseases-conditions/cervical-cancer/doctors-departments/ddc-20352508
Chronic lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/chronic-lymphocytic-leukemia/symptoms-causes/syc-20352428,https://www.mayoclinic.org/diseases-conditions/chronic-lymphocytic-leukemia/diagnosis-treatment/drc-20352433,https://www.mayoclinic.org/diseases-conditions/chronic-lymphocytic-leukemia/doctors-departments/ddc-20352436
Chronic myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/chronic-myelogenous-leukemia/symptoms-causes/syc-20352417,https://www.mayoclinic.org/diseases-conditions/chronic-myelogenous-leukemia/diagnosis-treatment/drc-20352422,https://www.mayoclinic.org/diseases-conditions/chronic-myelogenous-leukemia/doctors-departments/ddc-20352426
Colon cancer,https://www.mayoclinic.org/diseases-conditions/colon-cancer/symptoms-causes/syc-20353669,https://www.mayoclinic.org/diseases-conditions/colon-cancer/diagnosis-treatment/drc-20353674,https://www.mayoclinic.org/diseases-conditions/colon-cancer/doctors-departments/ddc-20353677
Endometrial cancer,https://www.mayoclinic.org/diseases-conditions/endometrial-cancer/symptoms-causes/syc-20352461,https://www.mayoclinic.org/diseases-conditions/endometrial-cancer/diagnosis-treatment/drc-20352466,https://www.mayoclinic.org/diseases-conditions/endometrial-cancer/doctors-departments/ddc-20352468
Esophageal cancer,https://www.mayoclinic.org/diseases-conditions/esophageal-cancer/symptoms-causes/syc-20356084,https://www.mayoclinic.org/diseases-conditions/esophageal-cancer/diagnosis-treatment/drc-20356090,https://www.mayoclinic.org/diseases-conditions/esophageal-cancer/doctors-departments/ddc-20356093
Eye melanoma,https://www.mayoclinic.org/diseases-conditions/eye-melanoma/symptoms-causes/syc-20372371,https://www.mayoclinic.org/diseases-conditions/eye-melanoma/diagnosis-treatment/drc-20372376,https://www.mayoclinic.org/diseases-conditions/eye-melanoma/doctors-departments/ddc-20372377
Floor of the mouth cancer,https://www.mayoclinic.org/diseases-conditions/floor-mouth-cancer/symptoms-causes/syc-20354179,https://www.mayoclinic.org/diseases-conditions/floor-mouth-cancer/diagnosis-treatment/drc-20446340,https://www.mayoclinic.org/diseases-conditions/floor-mouth-cancer/doctors-departments/ddc-20354181
Gallbladder cancer,https://www.mayoclinic.org/diseases-conditions/gallbladder-cancer/symptoms-causes/syc-20353370,https://www.mayoclinic.org/diseases-conditions/gallbladder-cancer/diagnosis-treatment/drc-20353374,https://www.mayoclinic.org/diseases-conditions/gallbladder-cancer/doctors-departments/ddc-20353376
Stomach cancer,https://www.mayoclinic.org/diseases-conditions/stomach-cancer/symptoms-causes/syc-20352438,https://www.mayoclinic.org/diseases-conditions/stomach-cancer/diagnosis-treatment/drc-20352443,https://www.mayoclinic.org/diseases-conditions/stomach-cancer/doctors-departments/ddc-20352445
Hairy cell leukemia,https://www.mayoclinic.org/diseases-conditions/hairy-cell-leukemia/symptoms-causes/syc-20372956,https://www.mayoclinic.org/diseases-conditions/hairy-cell-leukemia/diagnosis-treatment/drc-20372962,https://www.mayoclinic.org/diseases-conditions/hairy-cell-leukemia/doctors-departments/ddc-20372963
Hodgkin lymphoma (Hodgkin disease),https://www.mayoclinic.org/diseases-conditions/hodgkins-lymphoma/symptoms-causes/syc-20352646,https://www.mayoclinic.org/diseases-conditions/hodgkins-lymphoma/diagnosis-treatment/drc-20352650,https://www.mayoclinic.org/diseases-conditions/hodgkins-lymphoma/doctors-departments/ddc-20352653
Hurthle cell cancer,https://www.mayoclinic.org/diseases-conditions/hurthle-cell-cancer/symptoms-causes/syc-20373572,https://www.mayoclinic.org/diseases-conditions/hurthle-cell-cancer/diagnosis-treatment/drc-20373577,https://www.mayoclinic.org/diseases-conditions/hurthle-cell-cancer/doctors-departments/ddc-20373578
Inflammatory breast cancer,https://www.mayoclinic.org/diseases-conditions/inflammatory-breast-cancer/symptoms-causes/syc-20355413,https://www.mayoclinic.org/diseases-conditions/inflammatory-breast-cancer/diagnosis-treatment/drc-20355417,https://www.mayoclinic.org/diseases-conditions/inflammatory-breast-cancer/doctors-departments/ddc-20355419
Kidney cancer,https://www.mayoclinic.org/diseases-conditions/kidney-cancer/symptoms-causes/syc-20352664,https://www.mayoclinic.org/diseases-conditions/kidney-cancer/diagnosis-treatment/drc-20352669,https://www.mayoclinic.org/diseases-conditions/kidney-cancer/doctors-departments/ddc-20352672
Leukemia,https://www.mayoclinic.org/diseases-conditions/leukemia/symptoms-causes/syc-20374373,https://www.mayoclinic.org/diseases-conditions/leukemia/diagnosis-treatment/drc-20374378,https://www.mayoclinic.org/diseases-conditions/leukemia/doctors-departments/ddc-20374380
Liver cancer,https://www.mayoclinic.org/diseases-conditions/liver-cancer/symptoms-causes/syc-20353659,https://www.mayoclinic.org/diseases-conditions/liver-cancer/diagnosis-treatment/drc-20353664,https://www.mayoclinic.org/diseases-conditions/liver-cancer/doctors-departments/ddc-20353667
Lung cancer,https://www.mayoclinic.org/diseases-conditions/lung-cancer/symptoms-causes/syc-20374620,https://www.mayoclinic.org/diseases-conditions/lung-cancer/diagnosis-treatment/drc-20374627,https://www.mayoclinic.org/diseases-conditions/lung-cancer/doctors-departments/ddc-20374629
Male breast cancer,https://www.mayoclinic.org/diseases-conditions/male-breast-cancer/symptoms-causes/syc-20374740,https://www.mayoclinic.org/diseases-conditions/male-breast-cancer/diagnosis-treatment/drc-20374745,https://www.mayoclinic.org/diseases-conditions/male-breast-cancer/doctors-departments/ddc-20374746
Merkel cell carcinoma,https://www.mayoclinic.org/diseases-conditions/merkel-cell-carcinoma/symptoms-causes/syc-20351030,https://www.mayoclinic.org/diseases-conditions/merkel-cell-carcinoma/diagnosis-treatment/drc-20351036,https://www.mayoclinic.org/diseases-conditions/merkel-cell-carcinoma/doctors-departments/ddc-20351037
Mesothelioma,https://www.mayoclinic.org/diseases-conditions/mesothelioma/symptoms-causes/syc-20375022,https://www.mayoclinic.org/diseases-conditions/mesothelioma/diagnosis-treatment/drc-20375028,https://www.mayoclinic.org/diseases-conditions/mesothelioma/doctors-departments/ddc-20375030
Mouth cancer,https://www.mayoclinic.org/diseases-conditions/mouth-cancer/symptoms-causes/syc-20350997,https://www.mayoclinic.org/diseases-conditions/mouth-cancer/diagnosis-treatment/drc-20351002,https://www.mayoclinic.org/diseases-conditions/mouth-cancer/doctors-departments/ddc-20351006
Multiple myeloma,https://www.mayoclinic.org/diseases-conditions/multiple-myeloma/symptoms-causes/syc-20353378,https://www.mayoclinic.org/diseases-conditions/multiple-myeloma/diagnosis-treatment/drc-20353383,https://www.mayoclinic.org/diseases-conditions/multiple-myeloma/doctors-departments/ddc-20353385
